x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-117.3052778,49.49138888888889,6839,NELSON CS,BC,BRITISH COLUMBIA,CAN,492929000,-1171819000,PST,534.9,1145M29,WNM,71776,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1992-01-01 0:00,2024-02-06 12:30,1994-02-01 0:00,2024-02-06 12:30,1992-11-01 0:00,2024-02-06 0:00,1992-01-01 0:00,2006-10-01 0:00,Y,N,N
-119.2906778,50.703,6843,SALMON ARM CS,BC,BRITISH COLUMBIA,CAN,504210800,-1191726440,PST,350.5,116FRMN,WSL,71218,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1991-01-01 0:00,2024-02-06 12:30,1994-02-01 0:00,2024-02-06 12:30,1991-01-01 0:00,2024-02-06 0:00,1991-02-01 0:00,2006-10-01 0:00,Y,N,Y
-122.2705558,49.152500555555555,810,MISSION WEST ABBEY,BC,BRITISH COLUMBIA,CAN,490909002,-1221614001,PST,197,1105192,,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1962-01-01 0:00,2024-01-30 0:00,,,1962-10-01 0:00,2024-01-30 0:00,1962-01-01 0:00,2007-02-01 0:00,N,Y,N
-139.1266667,64.06085444444444,10194,DAWSON,YT,YUKON TERRITORY,CAN,640339076,-1390736000,PST,370,2100LRP,WON,71966,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1995-10-12 11:00,2024-02-06 12:30,1995-10-12 11:00,2024-02-06 12:30,1995-10-26 0:00,2024-02-06 0:00,1999-05-01 0:00,2007-02-01 0:00,Y,N,Y
-123.8088917,49.208911111111114,132,ENTRANCE ISLAND,BC,BRITISH COLUMBIA,CAN,491232080,-1234832010,PST,7,102BFHH,,,Climate-Staffed,F,1,7,CCG,GCC,Canadian Coast Guard,Garde c̫ti̬re canadienne,1987-01-01 0:00,2024-02-05 0:00,,,1987-05-01 0:00,2024-02-05 0:00,1987-01-01 0:00,2007-02-01 0:00,Y,N,N
-122.1097233,49.11333555555556,870,SUMAS CANAL,BC,BRITISH COLUMBIA,CAN,490648008,-1220635004,PST,9,1107785,,,Climate-Staffed,F,1,7,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1957-01-01 0:00,2024-02-05 0:00,,,1957-02-01 0:00,2024-02-05 0:00,1957-01-01 0:00,2007-02-01 0:00,Y,N,N
-120.3327778,49.672777777777775,27122,JELLICOE,BC,BRITISH COLUMBIA,CAN,494022000,-1201958000,PST,929,1123721,,,Climate-Staffed,G,1,8,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1995-08-01 0:00,2024-02-05 0:00,,,1995-08-01 0:00,2024-02-05 0:00,1995-08-01 0:00,2007-02-01 0:00,Y,N,N
-130.03723,63.24361833333333,27339,MACMILLAN PASS,YT,YUKON TERRITORY,CAN,631437026,-1300214028,PST,1379,2100693,WNV,71990,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1998-02-01 0:00,2024-02-06 12:30,1998-06-29 11:00,2024-02-06 12:30,1998-02-01 0:00,2024-02-06 0:00,1998-02-01 0:00,2007-11-01 0:00,Y,N,Y
-110.4666667,49.11666666666667,10725,ONEFOUR CDA,AB,ALBERTA,CAN,490700000,-1102800000,MST,935,3044923,WOE,71116,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1994-02-01 0:00,2024-02-06 12:30,1994-02-01 0:00,2024-02-06 12:30,1994-03-22 0:00,2024-02-06 0:00,1996-04-01 0:00,2007-10-01 0:00,Y,N,Y
-133.9416667,68.91083333333333,10824,STORM HILLS,NT,NORTHWEST TERRITORIES,CAN,685439000,-1335630000,MST,261.4,220LQJJ,WVH,71052,Aviation-Auto,G,1,8,DND,MDN,Department of National Defence,Minist̬re de la D̩fense nationale,1993-01-19 0:00,2024-02-06 12:30,1999-02-01 0:00,2024-02-06 12:30,1993-01-19 0:00,2024-02-06 0:00,2000-06-01 0:00,2000-06-01 0:00,Y,N,N
-121.2388889,60.44083333333333,10880,SAMBAA K'E,NT,NORTHWEST TERRITORIES,CAN,602627000,-1211420000,MST,498,220CQHR,WTE,71166,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1994-02-01 0:00,2024-02-06 12:30,1994-02-01 0:00,2024-02-06 12:30,1994-05-17 0:00,2024-02-06 0:00,2006-06-01 0:00,2007-02-01 0:00,Y,N,N
-125.1954722,49.99847222222222,152,CAPE MUDGE,BC,BRITISH COLUMBIA,CAN,495954500,-1251143700,PST,4.6,1021330,WAD,,Climate-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1978-01-01 0:00,2024-02-05 0:00,1994-02-01 7:00,2001-12-13 16:00,1978-09-01 0:00,2024-02-05 0:00,1978-01-01 0:00,2007-02-01 0:00,Y,Y,N
-119.9888889,74.13888888888889,27118,NANGMAGVIK LAKE,NT,NORTHWEST TERRITORIES,CAN,740820000,-1195920000,MST,32,2500440,WSQ,71974,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1996-08-21 0:00,2024-02-06 12:30,1996-08-21 14:00,2024-02-06 12:30,1996-08-21 0:00,2024-02-06 0:00,1998-02-01 0:00,2007-08-01 0:00,Y,N,N
-116.4533353,53.58027972222222,27213,EDSON CLIMATE,AB,ALBERTA,CAN,533449007,-1162712007,MST,927,3062246,ZZJ,71156,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1996-03-01 0:00,2024-02-06 12:30,1996-06-07 9:00,2024-02-06 12:30,1996-03-01 0:00,2024-02-06 0:00,1996-04-01 0:00,2007-11-01 0:00,Y,N,Y
-112.0236111,54.76888888888889,30726,LAC LA BICHE CLIMATE,AB,ALBERTA,CAN,544608000,-1120125000,MST,567,3063686,WLB,71316,Climate-Auto,,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,2001-02-01 0:00,2024-02-06 12:30,2003-11-01 0:00,2024-02-06 12:30,2001-02-01 0:00,2024-02-06 0:00,2001-03-01 0:00,2007-11-01 0:00,Y,N,N
-117.3988056,49.51233333333333,1095,NELSON RIXEN CREEK,BC,BRITISH COLUMBIA,CAN,493044400,-1172355700,PST,760,114EMDM,,,Climate-Staffed,F,1,7,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1990-01-01 0:00,2024-02-05 0:00,,,1990-07-01 0:00,2024-02-05 0:00,1990-01-01 0:00,2007-02-01 0:00,Y,N,N
-127.8353611,51.24722222222222,389,EGG ISLAND,BC,BRITISH COLUMBIA,CAN,511450000,-1275007300,PST,14,1062646,WEM,,Climate-Staffed,A,1,1,CCG,GCC,Canadian Coast Guard,Garde c̫ti̬re canadienne,1965-01-01 0:00,2024-02-05 0:00,1969-12-31 16:00,2001-12-13 16:00,1965-12-01 0:00,2024-02-05 0:00,1965-01-01 0:00,2007-02-01 0:00,Y,Y,N
-130.8803056,54.294666666666664,446,TRIPLE ISLAND,BC,BRITISH COLUMBIA,CAN,541740800,-1305249100,PST,20.7,1068250,WTI,,Climate-Staffed,F,1,7,CCG,GCC,Canadian Coast Guard,Garde c̫ti̬re canadienne,1953-01-01 1:00,2024-02-05 0:00,1953-01-01 1:00,2001-12-13 10:00,1989-06-01 0:00,2024-02-05 0:00,1989-01-01 0:00,2007-02-01 0:00,Y,N,N
-118.5852778,52.05305555555555,1367,MICA DAM,BC,BRITISH COLUMBIA,CAN,520311000,-1183507000,PST,579.1,1175122,,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1951-01-01 0:00,2024-02-01 0:00,,,1951-06-01 0:00,2024-02-01 0:00,1951-01-01 0:00,2007-02-01 0:00,Y,Y,N
-137.5802789,60.77250222222222,1556,HAINES JUNCTION,YT,YUKON TERRITORY,CAN,604621008,-1373449004,PST,595.3,2100630,WHT,71505,Climate-Auto,E,1,6,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1944-01-01 0:00,2024-02-06 12:30,1960-01-01 9:00,2024-02-06 12:30,1944-10-01 0:00,2024-02-06 0:00,1944-01-01 0:00,2006-10-01 0:00,Y,N,Y
-56.06666667,48.96666666666667,6561,BADGER (AUT),NL,NEWFOUNDLAND,CAN,485800000,-560400000,NST,102.7,8400301,WDI,71400,Climate-Auto,G,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1973-01-01 0:00,2024-02-06 12:30,1986-12-31 20:30,2024-02-06 12:30,1973-01-01 0:00,2024-02-06 0:00,1973-01-01 0:00,2007-07-01 0:00,Y,N,Y
-55.66666667,49.916666666666664,6668,LA SCIE,NL,NEWFOUNDLAND,CAN,495500000,-554000000,NST,194,8402520,WAG,71337,Climate-Auto,E,1,6,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1984-01-01 0:00,2024-02-06 12:30,1984-06-16 5:30,2024-02-06 12:30,1984-06-01 0:00,2024-02-06 0:00,1984-01-01 0:00,2007-07-01 0:00,Y,N,Y
-104.6333333,52,2947,LEROY,SK,SASKATCHEWAN,CAN,520000000,-1043800000,CST,535.4,4014322,,,Climate-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1980-01-01 0:00,2024-02-05 0:00,,,1980-06-01 0:00,2024-02-05 0:00,1980-01-01 0:00,2007-11-01 0:00,Y,Y,N
-107.3113972,50.83196111111111,3071,BEECHY,SK,SASKATCHEWAN,CAN,504955060,-1071841030,CST,659.9,4020560,,,N/A,A,1,1,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1926-01-01 0:00,2024-02-05 0:00,,,1926-01-01 0:00,2024-02-05 0:00,1926-01-01 0:00,2007-11-01 0:00,N,Y,N
-115.4605833,49.523916666666665,1186,FT STEELE DANDY CRK,BC,BRITISH COLUMBIA,CAN,493126100,-1152738100,MST,856,1153034,,,Climate-Staffed,D,1,5,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1968-01-01 0:00,2024-02-05 0:00,,,1968-03-01 0:00,2024-02-05 0:00,1968-01-01 0:00,2007-02-01 0:00,Y,N,N
-105.4833333,49.05,3172,CORONACH SPC,SK,SASKATCHEWAN,CAN,490300000,-1052900000,CST,756,40318MN,WAQ,71516,Climate-Auto,E,1,6,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1980-01-01 0:00,2024-02-06 12:30,1995-12-06 15:00,2024-02-06 12:30,1980-12-01 0:00,2024-02-06 0:00,1980-01-01 0:00,2007-11-01 0:00,Y,N,N
-109.2,53.45,3212,BUTTE ST PIERRE,SK,SASKATCHEWAN,CAN,532700000,-1091200000,CST,571.5,4041000,,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1955-01-01 0:00,2024-02-04 0:00,,,1955-05-01 0:00,2024-02-04 0:00,1955-01-01 0:00,2007-11-01 0:00,N,Y,N
-99.267805,53.18640666666667,7290,GRAND RAPIDS (AUT),MB,MANITOBA,CAN,531111064,-991604098,CST,222.5,5031A10,WJD,71858,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1992-12-03 0:00,2024-02-06 12:30,1994-02-01 1:00,2024-02-06 12:30,1992-12-03 0:00,2024-02-06 0:00,1999-06-01 0:00,2007-11-01 0:00,Y,N,Y
-97.61639667,52.818615,7333,GEORGE ISLAND (AUT),MB,MANITOBA,CAN,524907014,-973659028,CST,222.5,5030984,WWS,71445,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1994-02-01 0:26,2024-02-06 12:30,1994-02-01 0:26,2024-02-06 12:30,1994-12-29 0:00,2024-02-06 0:00,1998-07-01 0:00,2007-11-01 0:00,Y,N,Y
